# V applied (V)   V read (V)  Time    Current (nA)
# 0 -- Off    0.003       
# 0 -- On 0.003       
20      11:01   3.6576 0.1
20      11:05   3.3961 0.1
20      11:09   3.3438 0.1
20      11:12   3.4484 0.1
50      11:17   4.7036 0.1
50      11:19   4.4944 0.1
50      11:21   4.3898 0.1
50      11:24   4.3898 0.1
50      11:30   4.2852 0.1
50      11:35   4.3898 0.1
100     11:38   7.6324 0.1
100     11:41   5.4358 0.1
100     11:45   5.645  0.1
100     11:50   5.2266 0.1
100     11:56   5.2266 0.1
150     12:00   6.4818 0.1
150     12:05   5.9588 0.1
150     12:08   5.8542 0.1
150     12:11   5.645  0.1
150     12:14   5.645  0.1
200     12:17   8.3646 0.1
200     12:20   6.7956 0.1
200     12:23   6.3772 0.1
200     12:26   6.2726 0.1
200 12:29   6.168       0.1
250     12:33   7.5278  0.1
250     12:36   7.0048  0.1
250     12:39   6.691   0.1
250     12:42   6.5864  0.1
250     12:45   6.4818  0.1
300     12:48   8.4692  0.1
300     12:51   7.6324  0.1
300     12:54   7.3186  0.1
300     12:57   7.0048  0.1
300     13:00   7.0048  0.1
400     13:03   11.921  0.1
400     13:06   9.4106  0.1
400     13:09   8.6784  0.1
400     13:12   8.3646  0.1
400     13:15   8.1554  0.1
500     13:18   16.7326 0.1
500     13:21   10.9796 0.1
500     13:25   10.0382 0.1
500     13:28   9.7244  0.1
500     13:32   9.5152  0.1
500     13:35   9.5152  0.1
550 13:37   17.674 0.1
550 13:38   12.444 0.1
550     13:41   11.1888 0.1
550     13:43   10.875 0.1
600 13:47   14.536 0.1
600     13:50   12.1302 0.1
600     13:53   11.8164 0.1
600     13:56   11.6072 0.1
600 13:59   11.398      0.1
600     14:02   11.1888 0.1
700     14:07   15.8958 0.1
700     14:10   15.059  0.1
700     14:13   14.3268 0.1
700     14:16   14.013  0.1
700     14:19   13.8038 0.1
800     14:25   19.243  0.1
800     14:28   18.0924 0.1
800     14:31   17.3602 0.1
800     14:34   17.2556 0.1
800     14:37   17.0464 0.1
# Switch to CAEN
1200 0  20     20
1500 0  140    20
2000 0  2120   20
2300 0  12080  20
2500 0  39380  20
2600 0  69920  20
2700 0  120900 20
2750 0  156360 20
2790 0  190200 20
# Switch to CAEN higher voltage setting
2800 0  201000 100
2850 0  252700 100
2890 0  299900 100
